Unnamed: 0,IMMAGINE,DOMANDA,RISPOSTA 1,V/F,RISPOSTA 2,V/F.1,RISPOSTA 3,V/F.2,TEMA
45,,La sagola è:,la corda più lunga.,F,una sartia volante.,F,una cima di piccolo diametro,V,TEORIA DELLO SCAFO
46,,Cosa si intende per giardinetto?,la parte esterna convessa (a dritta e sinistra) in corrispondenza della prua.,F,la zona più esterna e centrale della poppa.,F,"la porzione terminale della parte esterna dello scafo, posto in prossimità della poppa (a dritta e a sinistra), con profilo spigoloso o tondeggiante.",V,TEORIA DELLO SCAFO
47,,Cosa è il boccaporto?,il giardinetto come la parte curva dello scafo vicino alla prora.,F,il trincarino come la protezione esterna dello scafo.,F,l'apertura nel ponte di coperta per il passaggio all'interno di persone o cose.,V,TEORIA DELLO SCAFO
49,,Qual è la funzione degli zinchi?,evitare le corrosioni galvaniche.,V,aumentare la zavorra.,F,impedire che l'acqua filtri all'interno dello scafo.,F,TEORIA DELLO SCAFO
50,,"Il flying bridge, detto anche fly, è:","il ponte superiore di una unità a motore, dove è collocata la seconda timoneria.",V,"il ponte principale, dove si trova la timoneria principale.",F,un tipo di vela.,F,TEORIA DELLO SCAFO
51,,Cos'è il baglio massimo:,la distanza verticale tra la linea di galleggiamento e la parte superiore della chiglia.,F,il peso totale che la nave può trasportare.,F,la larghezza massima dello scafo.,V,TEORIA DELLO SCAFO
52,,Il pagliolo di un'imbarcazione da diporto è:,una trave longitudinale che sostiene i bagli.,F,un piano amovibile e calpestabile sotto coperta.,V,un elemento essenziale per il rinforzo trasversale dell'imbarcazione.,F,TEORIA DELLO SCAFO
53,,La distanza verticale posta tra la coperta e la linea di galleggiamento è:,il bordo libero.,V,l'immersione.,F,l'opera viva.,F,TEORIA DELLO SCAFO
54,,Cosa è la sezione maestra dello scafo?,"la sezione trasversale centrale che, normalmente, ha maggior larghezza",V,la zona in cui si comanda.,F,la sezione iniziale dello scafo,F,TEORIA DELLO SCAFO
56,,In un'imbarcazione da diporto la tuga è:,"la sovrastruttura elevata sulla coperta, che non si estende per tutta la larghezza dell'unità.",V,il pozzetto a poppa ovvero la parte ribassata rispetto al piano di coperta.,F,"la sovrastruttura elevata sulla coperta, che si estende per tutta la larghezza dell'unità.",F,TEORIA DELLO SCAFO
57,,I candelieri sono:,fanali bianchi da accendere in caso di emergenza.,F,gli appigli orizzontali di sicurezza.,F,elementi verticali delle battagliole.,V,TEORIA DELLO SCAFO
58,,Il piano di calpestìo più basso di un’imbarcazione da diporto si chiama:,sentina.,F,coperta.,F,pagliolato.,V,TEORIA DELLO SCAFO
59,,La carena viene detta dislocante se è del tipo:,piatta.,F,catamarano.,F,tonda.,V,TEORIA DELLO SCAFO
60,,La linea di galleggiamento:,è la linea che divide lo scafo in opera viva e opera morta.,V,è la parte terminale superiore della fiancata.,F,indica il limite superiore del bordo libero.,F,TEORIA DELLO SCAFO
61,,Un catamarano:,non plana e navigando sposta l’acqua a destra e a sinistra.,F,non plana e si alza sul filo dell’acqua.,F,presenta due scafi.,V,TEORIA DELLO SCAFO
63,,Il timone è compensato quando:,è composto da un particolare tipo di legno.,F,una parte della pala è a proravia dell'asse.,V,corregge eventuali errori del timoniere.,F,TEORIA DELLO SCAFO
64,,Come si chiama la superficie del timone su cui agisce la pressione dell'acqua?,asse.,F,pala.,V,ruota.,F,TEORIA DELLO SCAFO
65,,Il timone è compensato se:,una parte della pala è a proravia dell'asse.,V,tutta la pala è a poppavia dell'asse.,F,la pala è dotata di asse in alluminio.,F,TEORIA DELLO SCAFO
66,1-15.png,Figura 7 - La freccia verso l'unità rappresentata in figura a fianco indica il:,mascone.,F,traverso.,V,giardinetto.,F,TEORIA DELLO SCAFO
67,1-15.png,Figura 8 - Le frecce in figura indicano:,il mascone di sinistra.,F,la murata sinistra.,V,il giardinetto di sinistra.,F,TEORIA DELLO SCAFO
68,1-15.png,Figura 9 - Le frecce in figura indicano:,il baglio massimo.,F,il mascone di dritta.,F,la murata di dritta.,V,TEORIA DELLO SCAFO
70,,I tubolari sono:,"i tubi di scarico del pozzetto, collegati agli ombrinali.",F,"le parti esterne di un battello pneumatico, che ne garantiscono una parte della riserva di galleggiamento.",V,l'insieme degli elementi a protezione del camminamento per il passaggio tra poppa e prora.,F,TEORIA DELLO SCAFO
71,,Per RIB (o RHIB) si intende:,i battelli pneumatici con chiglia rigida.,V,il musone di prua dove è alloggiata l'ancora.,F,è un nome di fantasia.,F,TEORIA DELLO SCAFO
72,,Si chiama musone:,è un nome di fantasia.,F,l'attacco del timone sullo specchio di poppa.,F,"la ferramenta che si trova a prua estrema, generalmente composta da un unico blocco, che comprende il passacatena dell´ancora.",V,TEORIA DELLO SCAFO
73,,Il passascafo è:,la parte filettata che attraversa lo spessore della carena e si connette alla presa a mare nelle tubazioni che trasportano l'acqua alle o dalle varie utenze.,V,il foro da cui defluisce l'acqua dal pozzetto.,F,il foro attraverso cui passa la catena dell'ancora quando viene dato fondo.,F,TEORIA DELLO SCAFO
74,,Il pozzetto è:,"la parte esterna di un'imbarcazione dove solitamente sono posizionate le manovre e il timone, destinata ad accogliere gli ospiti in sicurezza.",V,il punto di raccolta di eventuali perdite di fluidi del motore.,F,l'apertura per far defluire l'acqua presente in coperta.,F,TEORIA DELLO SCAFO
75,,Il pulpito è:,l'attacco della ruota del timone.,F,"la protezione dalle cadute posta a estrema prua e estrema poppa, solitamente in tubo di acciaio, cui è ancorata la battagliola.",V,"la ferramenta che si trova a prua estrema, generalmente composta da un unico blocco, che comprende il passacatena dell´ancora.",F,TEORIA DELLO SCAFO
77,,Si dicono prese a mare:,"le valvole, poste in connessione con i passascafo, che consentono di chiudere l'ingresso dell'acqua all'interno della barca.",V,le elichette che fuoriescono dallo scafo con cui il log determina la velocità dello scafo.,F,è un termine di fantasia.,F,TEORIA DELLO SCAFO
78,,"In base alle prestazioni nautiche dei principali tipi di scafo, si può affermare che:","la carena a ""V"" profonda affronta meglio il moto ondoso molto formato.",V,la carena dislocante è la più adatta alla planata.,F,la carena piatta è la più adatta per affrontare il moto ondoso formato.,F,TEORIA DELLO SCAFO
79,,Il rollìo è l'oscillazione dell'unità intorno al suo asse:,longitudinale.,V,verticale.,F,trasversale.,F,TEORIA DELLO SCAFO
80,,La carena viene detta dislocante se:,se in un dato momento non plana.,F,plana e si alza sul filo dell'acqua.,F,è tonda oppure a V profondo.,V,TEORIA DELLO SCAFO
81,,La carena viene detta dislocante se è del tipo:,non plana e navigando sposta l’acqua a destra e a sinistra.,V,plana e si alza sul filo dell’acqua.,F,presenta due scafi.,F,TEORIA DELLO SCAFO
82,,Per trim si intende:,una tipologia di carena.,F,il pistone idraulico che va ad agire sulla posizione del motore fuoribordo modificando l'angolo tra lo specchio di poppa e il gambo del motore stesso.,V,il sistema di comunicazione radio.,F,TEORIA DELLO SCAFO
84,,I flaps sono:,"appendici immerse, montate sullo specchio di poppa, per influire sull'assetto della carena.",V,le alette delle imbarcazioni a vela.,F,"non esistono, è un nome di fantasia.",F,TEORIA DELLO SCAFO
85,,I flaps:,"sono montati sullo specchio di poppa, sono sempre due, uno sull’estremità destra e l’altro sull’estremità sinistra.",V,sono montati uno sullo specchio di poppa e l'altro subito al di sotto della prua.,F,"sono sempre due, montati subito al di sotto della prua.",F,TEORIA DELLO SCAFO
86,,Il controllo dei flaps è solitamente:,"manuale, effettuato tramite dei leveraggi disposti nella zona poppiera dell'unità.",F,regolato dal cantiere all'atto della prima messa in acqua.,F,"realizzato attraverso il monitoraggio di un display, normalmente posto sulla plancia, analogico o digitale, che indica la loro altezza.",V,TEORIA DELLO SCAFO
87,,La linea d’asse è:,quella linea longitudinale solitamente chiamata carena.,F,un insieme di organi meccanici che trasmette il movimento all'elica.,V,la linea che divide l’opera viva e l’opera morta.,F,TEORIA DELLO SCAFO
88,,Il peso della nave corrisponde a:,la portata.,F,la stazza.,F,il dislocamento.,V,TEORIA DELLO SCAFO
89,,"Tra un'elica a passo fisso, una a pale abbattibili ed una a pale orientabili, l'elica che ha il minor rendimento a marcia indietro è quella a:",pale orientabili.,F,pale fisse.,F,pale abbattibili.,V,TEORIA DELLO SCAFO
91,,In retromarcia con un'unica elica destrorsa:,la poppa ruota più facilmente a sinistra.,V,la poppa ruota più facilmente a dritta.,F,è indifferente.,F,TEORIA DELLO SCAFO
92,,Unità da diporto a motore con a dritta elica destrorsa; si può ragionevolmente ritenere che quella di sinistra:,"non ha importanza, perché può essere indifferentemente sinistrorsa o destrorsa in quanto, in entrambi i casi, l'unità evoluisce sempre allo stesso moto ed alle medesime condizioni.",F,è sinistrorsa.,V,tende a spostare la prua lateralmente verso sinistra.,F,TEORIA DELLO SCAFO
93,,In retromarcia con un'unica elica sinistrorsa:,la poppa ruota più facilmente a sinistra.,F,la poppa ruota più facilmente a dritta.,V,è indifferente.,F,TEORIA DELLO SCAFO
94,,"Su un'unità munita di due motori, le eliche generalmente sono:",sinistrorsa a sinistra e destrorsa a dritta.,V,entrambe sinistrorse.,F,entrambe destrorse.,F,TEORIA DELLO SCAFO
95,,"In navigazione a motore, dov'è ubicato, rispetto al centro nave, l'asse di rotazione intorno al quale l'unità accosta?",verso prua.,V,verso poppa.,F,al centro.,F,TEORIA DELLO SCAFO
96,,"Un'elica è destrorsa se, guardando la poppa dall'esterno, le pale:",girano in senso orario in marcia indietro.,F,girano in senso orario in marcia avanti.,V,girano in senso antiorario in marcia avanti.,F,TEORIA DELLO SCAFO
98,,"Cosa, oltre la spinta esercitata dalle singole pale, influisce sull'effetto evolutivo dell'elica?",la rapidità dell'invertitore di inserire una marcia.,F,il diametro del mozzo dell'elica.,F,il flusso d'acqua spinto contro la pala del timone o la carena.,V,TEORIA DELLO SCAFO
99,,Il timone compensato serve a:,avere un timone più robusto.,F,allontanare dall'asse di rotazione il punto di applicazione della risultante della pressione esercitata dall'acqua sulle pale.,F,ridurre la resistenza della pala alla rotazione e quindi la durezza della barra/ruota.,V,TEORIA DELLO SCAFO
100,,Un timone compensato è quel timone:,di rispetto.,F,i cui effetti evolutivi sono compensati da quelli dell'elica.,F,che presenta una parte della pala a proravia dell'asse.,V,TEORIA DELLO SCAFO
101,,Com'è definita la differenza tra la distanza teorica e quella effettiva percorsa da un'elica in un giro completo?,passo.,F,diametro.,F,regresso.,V,TEORIA DELLO SCAFO
102,,L'effetto evolutivo di un'elica destrorsa in rotazione all'indietro (retromarcia) fa ruotare:,sia la poppa sia la prora verso dritta.,F,"la poppa verso dritta, quindi la prora verso sinistra.",F,"la poppa verso sinistra, quindi la prora verso dritta.",V,TEORIA DELLO SCAFO
103,,Qual è l'angolo di rotazione del timone (intorno al suo asse) per ottenere il massimo effetto di governo?,tra 90 gradi e 115 gradi.,F,tra 50 gradi e 90 gradi.,F,tra 30 gradi e 40 gradi.,V,TEORIA DELLO SCAFO
105,,"In marcia avanti, portando la ruota del timone a sinistra, come si comporta la poppa dell'unità?",accosta a dritta.,V,accosta a sinistra.,F,orza.,F,TEORIA DELLO SCAFO
106,,"Un'elica si definisce sinistrorsa quando, guardando la poppa dall'esterno, le pale girano in senso:",antiorario nella marcia avanti.,V,antiorario nella marcia indietro.,F,orario nella marcia avanti.,F,TEORIA DELLO SCAFO
107,,La distanza teorica che un'elica percorrerebbe in un giro completo se l'acqua fosse solida è  denominata:,passo teorico.,V,diametro teorico.,F,regresso teorico.,F,TEORIA DELLO SCAFO
108,,"L'elica con passo lungo e diametro piccolo, rispetto a una, che al contrario, ha passo piccolo e diametro più grande:",produce maggiore velocità.,V,produce maggior spinta.,F,è indifferente.,F,TEORIA DELLO SCAFO
109,,"In generale, oltre all'accostata, l'impiego del timone con pala produce i seguenti effetti:","spostamento laterale sul lato dell'accostata, lieve appoppamento.",F,"riduzione di velocità, spostamento laterale sul lato opposto a quello della pala, leggero appruamento.",V,esclusivamente lo sbandamento.,F,TEORIA DELLO SCAFO
110,,La curva di evoluzione:,è riferita alla velocità dell'unità.,F,è la traiettoria descritta dall'unità che accosta verso dritta ovvero sinistra.,V,descrive la rotazione del timone,F,TEORIA DELLO SCAFO
112,,"Riguardo al funzionamento del timone a barra, abbiamo che:","se in moto avanti, con barra a dritta la prora accosta a dritta.",F,"se in moto indietro, con barra a dritta la poppa accosta a sinistra.",V,"se in moto indietro, con barra a dritta la poppa accosta a dritta.",F,TEORIA DELLO SCAFO
113,,Per effettuare un corretto ormeggio di poppa alla banchina:,si retrocede perpendicolarmente alla banchina presentando il mascone e correggendo solo col timone.,F,"con elica sinistrorsa, si retrocede perpendicolarmente alla banchina presentando il giardinetto di dritta alla banchina.",V,"con elica destrorsa, si retrocede perpendicolarmente alla banchina correggendo con il timone a sinistra.",F,TEORIA DELLO SCAFO
114,,Effettuo un ormeggio di fianco (all'inglese) con un'elica destrorsa:,se aziono il motore in marcia indietro avvicino la prua alla banchina,F,l'unità si muove parallelamente alla banchina.,F,"con la banchina a sinistra, si dà marcia indietro con il mascone di sinistra alla banchina, avvicinando la poppa e arrestando l'abbrivio.",V,TEORIA DELLO SCAFO
115,,L'effetto evolutivo dell'elica è maggiore con un'unità:,abbriviata a marcia indietro.,F,abbriviata a marcia avanti.,F,senza abbrivio e con marcia inserita.,V,TEORIA DELLO SCAFO
116,,Si ha cavitazione nel momento in cui l'elica:,non raggiunge il regime minimo dei giri.,F,oltrepassa il limite dei giri e non si ha più la spinta propulsiva.,V,s'impiglia in un cavo.,F,TEORIA DELLO SCAFO
117,,"Con elica sinistrorsa, se manovro in marcia indietro:","con il timone al centro, la poppa accosta a sinistra.",F,"con il timone al centro, la poppa accosta a dritta.",V,l'unità procede dritta.,F,TEORIA DELLO SCAFO
119,,"Se un'unità da diporto a motore bi-elica ha a sinistra un'elica sinistrorsa, si può ragionevolmente ritenere che quella di dritta:",è destrorsa.,V,può essere indifferentemente destrorsa o sinistrorsa.,F,è destrorsa anch'essa.,F,TEORIA DELLO SCAFO
120,,Il timone è compensato quando:,è dotato di sistema di comando idraulico.,F,una parte della pala è a proravia dell'asse.,V,è fissato allo specchio di poppa a mezzo di cerniere.,F,TEORIA DELLO SCAFO
121,,"Con elica destrorsa, manovro in marcia indietro:","tenendo il timone al centro, la poppa accosta a dritta.",F,"con il timone a dritta, limito l’accostata della poppa a sinistra.",V,"con il timone a sinistra, accentuo l’accostata della poppa a dritta.",F,TEORIA DELLO SCAFO
122,,Manovrando una unità da diporto dotata di due linee d'asse (destrorsa a dritta e sinistrorsa a sinistra); si ha che:,"con il solo motore di dritta in marcia indietro (fermo il motore di sinistra), la prora accosta a dritta.",V,"con il motore di dritta in marcia avanti e con quello di sinistra in marcia indietro, si ruota sul posto in senso orario.",F,"con il solo motore di sinistra in marcia indietro (fermo il motore di dritta), la poppa accosti a sinistra.",F,TEORIA DELLO SCAFO
123,,Un’elica destrorsa:,in marcia avanti tende a far accostare la poppa a sinistra.,F,"se vista da poppa, in marcia avanti l'elica gira in senso antiorario.",F,"in marcia indietro, l'elica tende a far accostare la poppa a sinistra.",V,TEORIA DELLO SCAFO
124,,"Sulla manovra e il funzionamento del timone a barra, senza considerare l’effetto dell’elica, in marcia avanti abbiamo che:","con barra a sinistra, la prua va a sinistra.",F,"con barra a sinistra, la prua va a dritta.",V,con barra al centro la poppa va a sinistra.,F,TEORIA DELLO SCAFO
126,,Ruotando la ruota a sinistra nel moto in avanti; accade che la:,prora vada a sinistra.,V,prora vada a dritta.,F,poppa vada a sinistra.,F,TEORIA DELLO SCAFO
127,,Un'elica sinistrorsa:,"guardando la poppa dall'esterno, in marcia avanti gira in senso antiorario.",V,"in marcia avanti, tende a fare accostare la poppa a dritta.",F,"in marcia indietro, tende a fare accostare la prora a dritta.",F,TEORIA DELLO SCAFO
128,,Con un motore fuoribordo:,"in marcia avanti, ruotando il piede a dritta, la poppa accosta a dritta.",F,l’effetto evolutivo dell’elica è più importante rispetto a quello generato con un entrobordo monoelica.,F,"in marcia avanti, ruotando il piede a dritta, la poppa accosta a sinistra.",V,TEORIA DELLO SCAFO
129,,Un’elica destrorsa:,"in marcia indietro, l’elica ruota in senso antiorario.",V,"in marcia indietro, con timone al centro, la poppa si sposta verso dritta.",F,"in marcia avanti, con timone al centro, la poppa si sposta verso sinistra.",F,TEORIA DELLO SCAFO
130,,Il timone avente tutta la pala a poppavia dell’anima è denominato:,compensato.,F,ordinario.,V,comune.,F,TEORIA DELLO SCAFO
131,,Installando un timone compensato si ottiene che:,si riesce a far ruotare il timone fino a circa 90 gradi.,F,è richiesto uno sforzo minore per girare la ruota.,V,l’unità ruota decisamente di più.,F,TEORIA DELLO SCAFO
133,,Come ci si deve comportare per manovrare in caso di avaria al timone su una barca di piccole dimensioni?,non si può manovrare per cui conviene chiedere aiuto.,F,immergendo un remo sul lato sinistro per virare a sinistra.,V,immergendo un remo sul lato sinistro per virare a dritta.,F,TEORIA DELLO SCAFO
134,,"Con motore entrobordo ed elica sinistrorsa, in marcia avanti e con il timone al centro:",la poppa tende ad evoluire verso sinistra.,V,l’unità avanza con moto diritto.,F,la prora tende ad evoluire verso sinistra.,F,TEORIA DELLO SCAFO
135,,"Con motore entrobordo ed elica sinistrorsa, in retromarcia e con il timone al centro, accade che:",l’unità indietreggia con moto diritto.,F,la poppa tende ad evoluire verso dritta.,V,la poppa tende ad evoluire verso sinistra.,F,TEORIA DELLO SCAFO
136,,L’effetto evolutivo dell’elica su un motore entrobordo si compensa:,usando un'elica particolare.,F,inclinando leggermente l’asse- portaelica.,F,con il timone.,V,TEORIA DELLO SCAFO
137,,Cosa si intende per timoni accoppiati di un'unità?,la condizione in cui il timone principale e quello di emergenza si muovono in sincronia.,F,due timoni uguali e simmetrici utilizzati su alcune unità navali bielica che agiscono in sincronia.,V,la condizione in cui i due timoni montati a bordo sono collegati al pilota automatico.,F,TEORIA DELLO SCAFO
138,,"In un'unità bi-elica (con due assi portaelica), per quale motivo l'elica di dritta è destrorsa e l'elica di sinistra è sinistrorsa?",per garantire una costante velocità di crociera.,F,per eliminare il fenomeno di cavitazione dell'elica.,F,Per compensare l'effetto laterale delle pale.,V,TEORIA DELLO SCAFO
140,,"In generale, quale effetto produce un'elica destrorsa in marcia avanti su un'unità navale monoelica con il timone al centro?",la prua si sposterà verso sinistra e la poppa verso dritta.,V,la prua si sposterà verso dritta e la poppa verso sinistra.,F,poppa tenderà ad abbassarsi e la prua ad innalzarsi.,F,TEORIA DELLO SCAFO
141,,"In generale, quale effetto produce un'elica sinistrorsa in marcia avanti su un'unità navale monoelica con il timone al centro?",la poppa tenderà ad abbassarsi e la prua ad innalzarsi.,F,la prua si sposterà verso sinistra e la poppa verso dritta.,F,la prua si sposterà verso dritta e la poppa verso sinistra.,V,TEORIA DELLO SCAFO
142,,Cosa si intende per assetto di un'unità navale?,la posizione di equilibrio assunta nel piano longitudinale (prua - poppa).,V,la posizione di equilibrio assunta nel piano trasversale (dritta - sinistra).,F,la posizione di equilibrio assunta nel piano verticale.,F,TEORIA DELLO SCAFO
143,,Cosa si intende per rollio di un'unità navale?,"la rotazione lungo l'asse longitudinale dell'unità, che determina l'inclinazione della stessa a dritta e a sinistra.",V,"la rotazione che si verifica lungo l'asse trasversale, che determina l'immersione della prua e il contestuale sollevamento della poppa e viceversa.",F,"la rotazione che si manifesta lungo l'asse verticale, che determina la contestuale deviazione della prua da un lato e della poppa dal lato opposto.",F,TEORIA DELLO SCAFO
144,,Cosa si intende per beccheggio di un'unità?,"la rotazione lungo l'asse longitudinale dell'unità navale, che determina l'inclinazione della stessa a dritta e a sinistra.",F,"la rotazione che si verifica lungo l'asse trasversale, che determina l'immersione della prua e il contestuale sollevamento della poppa e viceversa.",V,"la rotazione che si manifesta lungo l'asse verticale, che determina la contestuale deviazione della prua da un lato e della poppa dal lato opposto.",F,TEORIA DELLO SCAFO
